season,venue,innings,batting_team,bowling_team,runs,batsmen,bowlers
5,ahm,1,pun,Kolkata Knight Riders,48,5,3
5,Maharashtra Cricket Association Stadium,2,kol,Kings XI Punjab,53,4,3
5,ahm,1,che,Rajasthan Royals,39,4,5
5,ahm,2,rr,Chennai Super Kings,47,2,3
5,che,1,mum,Royal Challengers Bangalore,48,3,4
5,che,2,ban,Mumbai Indians,33,3,4
5,del,1,del,Kolkata Knight Riders,34,4,4
5,del,2,kol,Delhi Daredevils,48,4,3
5,ahm,1,rr,Kings XI Punjab,43,2,3
5,ahm,2,pun,Rajasthan Royals,40,3,4
5,ahm,3,pun,Rajasthan Royals,15,3,1
5,ahm,4,rr,Kings XI Punjab,6,3,1
5,ahm,1,hyd,Kolkata Knight Riders,43,2,3
5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,kol,Sunrisers Hyderabad,49,4,5
5,che,1,che,Royal Challengers Bangalore,45,3,4
5,che,2,ban,Chennai Super Kings,38,4,3
5,del,1,del,Mumbai Indians,45,3,4
5,del,2,mum,Delhi Daredevils,48,3,4
5,ahm,1,rr,Royal Challengers Bangalore,48,4,4
5,ahm,2,ban,Rajasthan Royals,49,3,4
5,kol,1,mum,Kolkata Knight Riders,37,5,3
5,kol,2,kol,Mumbai Indians,38,3,4
5,che,1,che,Delhi Daredevils,59,4,3
5,che,2,del,Chennai Super Kings,40,5,2
5,che,1,rr,Kings XI Punjab,35,4,3
5,Maharashtra Cricket Association Stadium,2,pun,Rajasthan Royals,51,4,4
5,kol,1,kol,Royal Challengers Bangalore,53,2,4
5,kol,2,ban,Kolkata Knight Riders,41,3,3
5,che,1,che,Sunrisers Hyderabad,49,2,4
5,che,2,hyd,Chennai Super Kings,46,3,2
5,del,1,del,Rajasthan Royals,51,3,5
5,del,2,rr,Delhi Daredevils,42,3,3
5,mum,1,pun,Mumbai Indians,57,2,3
5,mum,2,mum,Kings XI Punjab,17,5,3
5,che,1,ban,Sunrisers Hyderabad,47,3,3
5,che,2,hyd,Royal Challengers Bangalore,65,2,4
5,ahm,1,mum,Rajasthan Royals,31,4,4
5,ahm,2,rr,Mumbai Indians,42,3,3
5,ahm,1,pun,Delhi Daredevils,41,3,3
5,Maharashtra Cricket Association Stadium,2,del,Kings XI Punjab,47,3,3
5,Maharashtra Cricket Association Stadium,1,hyd,Rajasthan Royals,35,4,4
5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,rr,Sunrisers Hyderabad,36,2,3
5,mum,1,mum,Chennai Super Kings,31,5,3
5,mum,2,che,Mumbai Indians,90,2,4
5,mum,1,del,Sunrisers Hyderabad,40,3,3
5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,hyd,Delhi Daredevils,50,2,4
5,mum,1,mum,Sunrisers Hyderabad,46,3,3
5,mum,2,hyd,Mumbai Indians,52,2,3
5,che,1,che,Kings XI Punjab,54,3,4
5,che,2,pun,Chennai Super Kings,39,4,3
5,del,1,del,Royal Challengers Bangalore,38,4,4
5,del,2,ban,Delhi Daredevils,50,2,4
5,pun,1,hyd,Kings XI Punjab,56,3,3
5,pun,2,pun,Sunrisers Hyderabad,36,4,3
5,che,1,che,Kolkata Knight Riders,53,3,3
5,che,2,kol,Chennai Super Kings,54,4,4
5,kol,1,che,Kolkata Knight Riders,69,6,4
