season,matchno,venue,innings,batting_team,runs,batsmen,bowlers
5,1,37.84615384615385,1,pun,48,5,3
5,1,42.5,2,kol,53,4,3
5,1,37.84615384615385,1,che,39,4,5
5,1,37.84615384615385,2,rr,47,2,3
5,1,47.32142857142857,1,mum,48,3,4
5,1,47.32142857142857,2,ban,33,3,4
5,1,44.111111111111114,1,del,34,4,4
5,2,44.111111111111114,2,kol,48,4,3
5,2,37.84615384615385,1,rr,43,2,3
5,2,37.84615384615385,2,pun,40,3,4
5,3,37.84615384615385,3,pun,15,3,1
5,3,37.84615384615385,4,rr,6,3,1
5,1,37.84615384615385,1,hyd,43,2,3
5,3,45.0,2,kol,49,4,5
5,2,47.32142857142857,1,che,45,3,4
5,2,47.32142857142857,2,ban,38,4,3
5,2,44.111111111111114,1,del,45,3,4
5,2,44.111111111111114,2,mum,48,3,4
5,4,37.84615384615385,1,rr,48,4,4
5,3,37.84615384615385,2,ban,49,3,4
5,3,45.666666666666664,1,mum,37,5,3
5,4,45.666666666666664,2,kol,38,3,4
5,3,47.32142857142857,1,che,59,4,3
5,3,47.32142857142857,2,del,40,5,2
5,5,47.32142857142857,1,rr,35,4,3
5,4,42.5,2,pun,51,4,4
5,5,45.666666666666664,1,kol,53,2,4
5,4,45.666666666666664,2,ban,41,3,3
5,4,47.32142857142857,1,che,49,2,4
5,2,47.32142857142857,2,hyd,46,3,2
5,4,44.111111111111114,1,del,51,3,5
5,6,44.111111111111114,2,rr,42,3,3
5,5,46.833333333333336,1,pun,57,2,3
5,4,46.833333333333336,2,mum,17,5,3
5,5,47.32142857142857,1,ban,47,3,3
5,3,47.32142857142857,2,hyd,65,2,4
5,5,37.84615384615385,1,mum,31,4,4
5,7,37.84615384615385,2,rr,42,3,3
5,6,37.84615384615385,1,pun,41,3,3
5,5,42.5,2,del,47,3,3
5,4,42.5,1,hyd,35,4,4
5,8,45.0,2,rr,36,2,3
5,6,46.833333333333336,1,mum,31,5,3
5,5,46.833333333333336,2,che,90,2,4
5,6,46.833333333333336,1,del,40,3,3
5,5,45.0,2,hyd,50,2,4
5,7,46.833333333333336,1,mum,46,3,3
5,6,46.833333333333336,2,hyd,52,2,3
5,6,47.32142857142857,1,che,54,3,4
5,7,47.32142857142857,2,pun,39,4,3
5,7,44.111111111111114,1,del,38,4,4
5,6,44.111111111111114,2,ban,50,2,4
5,7,51.8,1,hyd,56,3,3
5,8,51.8,2,pun,36,4,3
5,7,47.32142857142857,1,che,53,3,3
5,6,47.32142857142857,2,kol,54,4,4
5,8,45.666666666666664,1,che,69,6,4
5,7,45.666666666666664,2,kol,38,3,2
5,7,47.32142857142857,1,ban,79,10,7
5,8,44.111111111111114,2,del,41,2,3
5,8,46.833333333333336,1,mum,47,3,4
5,9,46.833333333333336,2,rr,55,3,4
5,8,47.32142857142857,1,kol,61,3,5
5,8,47.32142857142857,2,ban,62,4,4
5,8,51.888888888888886,1,hyd,76,2,3
5,9,51.888888888888886,2,che,54,4,4
5,9,51.8,1,mum,51,2,4
5,9,51.8,2,pun,45,4,4
5,10,51.8,1,rr,43,2,3
5,9,48.0,2,del,55,4,4
5,10,47.32142857142857,1,che,37,3,4
5,9,47.32142857142857,2,ban,42,4,3
5,9,45.666666666666664,1,kol,55,2,4
5,9,45.666666666666664,2,hyd,33,5,4
5,10,46.833333333333336,1,del,44,4,4
5,10,46.833333333333336,2,mum,41,6,3
5,10,47.32142857142857,1,ban,68,2,3
5,10,47.32142857142857,2,pun,34,6,3
5,10,56.0,1,hyd,56,3,5
5,11,48.0,2,rr,36,4,3
5,10,45.666666666666664,1,kol,50,3,3
5,11,45.666666666666664,2,del,36,2,3
5,11,47.32142857142857,1,che,44,3,4
5,11,47.32142857142857,2,mum,61,2,3
5,11,45.666666666666664,1,pun,45,3,4
5,11,45.666666666666664,2,kol,57,3,4
5,11,45.666666666666664,1,hyd,41,4,3
5,12,38.5,2,del,49,3,4
5,11,46.833333333333336,1,ban,39,3,4
5,12,46.833333333333336,2,mum,45,3,4
5,12,47.32142857142857,1,che,36,4,4
5,12,47.32142857142857,2,rr,40,3,2
5,12,51.888888888888886,1,hyd,56,2,4
5,12,51.888888888888886,2,pun,47,3,4
5,13,51.888888888888886,1,che,16,2,2
5,13,38.5,2,del,28,4,3
5,13,51.8,1,pun,72,6,5
5,12,51.8,2,ban,61,4,4
5,13,46.833333333333336,1,mum,46,4,3
5,12,46.833333333333336,2,kol,50,4,4
5,13,51.888888888888886,1,hyd,68,3,5
5,13,51.888888888888886,2,ban,83,5,5
5,14,51.8,1,pun,41,5,3
5,14,51.8,2,che,47,4,4
5,13,51.8,1,rr,66,2,4
5,13,48.0,2,kol,53,4,3
5,14,47.32142857142857,1,del,54,2,4
