matchid,venue,innings,batting_team,bowler,runs
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,P Kumar,19
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Z Khan,19
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,AA Noffke,23
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,AB Dinda,9
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,I Sharma,9
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,AB Agarkar,8
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,B Lee,21
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,S Sreesanth,21
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,JR Hopes,11
335983,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,JDP Oram,30
335983,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,MS Gony,33
335984,Feroz Shah Kotla,1,Rajasthan Royals,GD McGrath,13
335984,Feroz Shah Kotla,1,Rajasthan Royals,B Geeves,24
335984,Feroz Shah Kotla,1,Rajasthan Royals,MF Maharoof,3
335984,Feroz Shah Kotla,2,Delhi Daredevils,MM Patel,25
335984,Feroz Shah Kotla,2,Delhi Daredevils,SR Watson,23
335984,Feroz Shah Kotla,2,Delhi Daredevils,SK Trivedi,7
335986,Eden Gardens,1,Deccan Chargers,AB Dinda,18
335986,Eden Gardens,1,Deccan Chargers,I Sharma,5
335986,Eden Gardens,1,Deccan Chargers,AB Agarkar,16
335986,Eden Gardens,2,Kolkata Knight Riders,WPUJC Vaas,10
335986,Eden Gardens,2,Kolkata Knight Riders,RP Singh,13
335986,Eden Gardens,2,Kolkata Knight Riders,SB Styris,3
335985,Wankhede Stadium,1,Mumbai Indians,P Kumar,14
335985,Wankhede Stadium,1,Mumbai Indians,Z Khan,14
335985,Wankhede Stadium,1,Mumbai Indians,JH Kallis,19
335985,Wankhede Stadium,2,Royal Challengers Bangalore,A Nehra,21
335985,Wankhede Stadium,2,Royal Challengers Bangalore,SM Pollock,9
335985,Wankhede Stadium,2,Royal Challengers Bangalore,DS Kulkarni,10
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,MM Patel,25
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,SR Watson,13
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,SK Trivedi,16
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,B Lee,26
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,S Sreesanth,21
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,JR Hopes,6
335988,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,GD McGrath,14
335988,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Mohammad Asif,11
335988,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,WPUJC Vaas,21
335988,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,RP Singh,27
335989,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,SM Pollock,25
335989,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,A Nehra,23
335989,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,DS Kulkarni,5
335989,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,JDP Oram,40
335989,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,MS Gony,12
335990,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,MM Patel,27
335990,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,SR Watson,21
335990,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,YK Pathan,10
335990,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,WPUJC Vaas,32
335990,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,RP Singh,25
335990,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,PP Ojha,16
335991,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,SM Pollock,27
335991,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,A Nehra,16
335991,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,DS Kulkarni,17
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,B Lee,6
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,IK Pathan,15
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,VRV Singh,13
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,S Sreesanth,5
335993,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,JDP Oram,16
335993,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,MS Gony,33
335993,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,P Amarnath,12
335993,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,AB Dinda,25
335993,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,I Sharma,10
335993,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,AB Agarkar,10
335992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,SR Watson,15
335992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sohail Tanvir,27
335992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,MM Patel,15
335992,M Chinnaswamy Stadium,2,Rajasthan Royals,P Kumar,16
335992,M Chinnaswamy Stadium,2,Rajasthan Royals,Z Khan,21
335992,M Chinnaswamy Stadium,2,Rajasthan Royals,R Vinay Kumar,8
