matchid,venue,innings,striker,bowler,runs
335982,M Chinnaswamy Stadium,1,SC Ganguly,P Kumar,7
335982,M Chinnaswamy Stadium,1,BB McCullum,P Kumar,12
335982,M Chinnaswamy Stadium,1,BB McCullum,Z Khan,19
335982,M Chinnaswamy Stadium,1,BB McCullum,AA Noffke,18
335982,M Chinnaswamy Stadium,1,SC Ganguly,AA Noffke,5
335982,M Chinnaswamy Stadium,1,SC Ganguly,Z Khan,0
335982,M Chinnaswamy Stadium,1,RT Ponting,Z Khan,0
335982,M Chinnaswamy Stadium,2,R Dravid,AB Dinda,2
335982,M Chinnaswamy Stadium,2,W Jaffer,AB Dinda,4
335982,M Chinnaswamy Stadium,2,R Dravid,I Sharma,0
335982,M Chinnaswamy Stadium,2,V Kohli,I Sharma,5
335982,M Chinnaswamy Stadium,2,W Jaffer,I Sharma,3
335982,M Chinnaswamy Stadium,2,V Kohli,AB Dinda,0
335982,M Chinnaswamy Stadium,2,JH Kallis,AB Dinda,1
335982,M Chinnaswamy Stadium,2,JH Kallis,I Sharma,1
335982,M Chinnaswamy Stadium,2,JH Kallis,AB Agarkar,7
335982,M Chinnaswamy Stadium,2,W Jaffer,AB Agarkar,1
335982,M Chinnaswamy Stadium,2,CL White,AB Agarkar,0
335982,M Chinnaswamy Stadium,2,MV Boucher,AB Dinda,1
335982,M Chinnaswamy Stadium,2,CL White,AB Dinda,1
335983,"Punjab Cricket Association Stadium, Mohali",1,PA Patel,B Lee,1
335983,"Punjab Cricket Association Stadium, Mohali",1,ML Hayden,B Lee,11
335983,"Punjab Cricket Association Stadium, Mohali",1,PA Patel,S Sreesanth,15
335983,"Punjab Cricket Association Stadium, Mohali",1,MEK Hussey,B Lee,9
335983,"Punjab Cricket Association Stadium, Mohali",1,MEK Hussey,S Sreesanth,5
335983,"Punjab Cricket Association Stadium, Mohali",1,ML Hayden,S Sreesanth,1
335983,"Punjab Cricket Association Stadium, Mohali",1,ML Hayden,JR Hopes,11
335983,"Punjab Cricket Association Stadium, Mohali",1,MEK Hussey,JR Hopes,0
335983,"Punjab Cricket Association Stadium, Mohali",2,K Goel,JDP Oram,8
335983,"Punjab Cricket Association Stadium, Mohali",2,JR Hopes,JDP Oram,22
335983,"Punjab Cricket Association Stadium, Mohali",2,K Goel,MS Gony,17
335983,"Punjab Cricket Association Stadium, Mohali",2,JR Hopes,MS Gony,16
335984,Feroz Shah Kotla,1,T Kohli,GD McGrath,7
335984,Feroz Shah Kotla,1,YK Pathan,B Geeves,10
335984,Feroz Shah Kotla,1,T Kohli,B Geeves,1
335984,Feroz Shah Kotla,1,SR Watson,GD McGrath,5
335984,Feroz Shah Kotla,1,SR Watson,B Geeves,13
335984,Feroz Shah Kotla,1,M Kaif,GD McGrath,1
335984,Feroz Shah Kotla,1,SR Watson,MF Maharoof,2
335984,Feroz Shah Kotla,1,M Kaif,MF Maharoof,1
335984,Feroz Shah Kotla,2,G Gambhir,MM Patel,24
335984,Feroz Shah Kotla,2,V Sehwag,SR Watson,12
335984,Feroz Shah Kotla,2,S Dhawan,SR Watson,6
335984,Feroz Shah Kotla,2,S Dhawan,MM Patel,1
